Kod;id;g_name;screen_name;class;description
49104;73128208;Zhenskie sekrety | Tsitaty...;club73128208;WOMAN;
47104;73128208;Zhenskie sekrety | Tsitaty...;club73128208;WOMAN;
47958;36287494;Tsitaty velikih zhenschin +18;onsmolny;WOMAN;
47975;47337124;Ranevskaja.Tsitaty  velikih zhenschin.Novyj god.;ranevskaya_faina;WOMAN;Imja: Faina Ranevskaja(Fel'dman)<br><br>Data rozhdenija: 27 avgusta 1896 goda<br><br>Mesto rozhdenija: Taganrog<br><br>Dejatel'nost': Aktrisa
47976;57019283;Tsitaty velikih zhenschin;tobesexy;WOMAN;
50888;24507410;Ja ne sterva
52238;28542552;Tsitaty o zhizni © Sport © Devushki © Video © Jumor;sport_yumor_devushki;WOMAN;Reguljarno popolnjaemyj katalog fil'mov. Zdes' vsegda mozhno najti samye poslednie fil'my
49677;23960218;All Right - zhenskie tsitaty i mysli;women_all_right;WOMAN;Pravil'nyj zhenskij pablik dlja teh
47677;23960218;All Right - zhenskie tsitaty i mysli;women_all_right;WOMAN;Pravil'nyj zhenskij pablik dlja teh
51736;3186513;MSTITEL'NYE STERVY! DLJa KOTORYH SUSchESTVUET LISh' ODNA FRAZA: POTOMU
50870;94175922;Territorija stervy/Statusy/;terrasterva;WOMAN;
47910;45284643;Ja - zhenschina | Statusy;secretikrasoty;WOMAN;
50879;87341056;?Ostorozhno: Sterva!?Statusy 2016;ostorozhno_ya_sterva;WOMAN;Chuvstvujte sebja kak doma))).Zashli? Ostavajtes'!?
52202;24818514;Statusy - pro parnej i devushek;more_status_about_boy_and_girl;WOMAN;
48013;57231331;Dnevnik  Zhenschiny.Sem'ja.Krasota.Statusy ?;dnevniksz;WOMAN;
52907;31942200;Dnevnik nastojaschej ledi /Statusy.Den' vljublennyh/;id_31942200;WOMAN;Ja ochen' nastorozhenno otnoshus' k ljudjam
48032;41682596;O
48870;109210251;Zhenskoe nastroenie;club109210251;WOMAN;
46870;109210251;Zhenskoe nastroenie;club109210251;WOMAN;
48871;107714744;Zhenskie pobedy;club107714744;WOMAN;
46871;107714744;Zhenskie pobedy;club107714744;WOMAN;
46872;110851999;3 koketki — zhenskoe schast'e;club110851999;WOMAN;
48872;110851999;3 koketki — zhenskoe schast'e;club110851999;WOMAN;
48873;64478681;GirlsToRule: Zhenskie strimy;thegnbtv;WOMAN;GirlsToRule - kruglosutochnyj igrovoj kanal
46873;64478681;GirlsToRule: Zhenskie strimy;thegnbtv;WOMAN;GirlsToRule - kruglosutochnyj igrovoj kanal
46874;105615349;Zhenskij ugolok;club105615349;WOMAN;
48874;105615349;Zhenskij ugolok;club105615349;WOMAN;
46875;108600440;Zhenskaja stranichka o zdorov'e;club108600440;WOMAN;
48875;108600440;Zhenskaja stranichka o zdorov'e;club108600440;WOMAN;
55873;91157948;Zhenskaja Rjazan';woman_ovh;WOMAN;Publikujutsja zapisi/istorii/situatsii tol'ko ot osob zhenskogo pola.<br><br>Zdes' vy mozhete ostavit' svoju istoriju
46876;91157948;Zhenskaja Rjazan';woman_ovh;WOMAN;Publikujutsja zapisi/istorii/situatsii tol'ko ot osob zhenskogo pola.<br><br>Zdes' vy mozhete ostavit' svoju istoriju
48876;91157948;Zhenskaja Rjazan';woman_ovh;WOMAN;Publikujutsja zapisi/istorii/situatsii tol'ko ot osob zhenskogo pola.<br><br>Zdes' vy mozhete ostavit' svoju istoriju
46877;62312208;Al'met'evskij roddom
48877;62312208;Al'met'evskij roddom
48878;100896537;???• ? Zhenskaja intuitsija ? •???;club100896537;WOMAN;
46878;100896537;???• ? Zhenskaja intuitsija ? •???;club100896537;WOMAN;
55874;107685474;Ideal'naja zhenschina • Zhenskij zhurnal;excellent_woman;WOMAN;• Zhenskie sekrety uspeha i dazhe bol'she
47875;107685474;Ideal'naja zhenschina • Zhenskij zhurnal;excellent_woman;WOMAN;• Zhenskie sekrety uspeha i dazhe bol'she
46879;107685474;Ideal'naja zhenschina • Zhenskij zhurnal;excellent_woman;WOMAN;• Zhenskie sekrety uspeha i dazhe bol'she
48879;107685474;Ideal'naja zhenschina • Zhenskij zhurnal;excellent_woman;WOMAN;• Zhenskie sekrety uspeha i dazhe bol'she
48880;108600374;Zhenskaja stranichka;club108600374;WOMAN;
46880;108600374;Zhenskaja stranichka;club108600374;WOMAN;
46881;98777716;EMANCIPATION  Zhenskaja filosofija;club98777716;WOMAN;« Ja dovol'na soboj
48881;98777716;EMANCIPATION  Zhenskaja filosofija;club98777716;WOMAN;« Ja dovol'na soboj
46882;45929196;Blossom -PLAT'Ja
48882;45929196;Blossom -PLAT'Ja
46883;108600412;Zhenskaja stranichka o krasote;club108600412;WOMAN;
48883;108600412;Zhenskaja stranichka o krasote;club108600412;WOMAN;
46884;105794647;Zhenskaja stihija;jenskaja_stihija;WOMAN;
48884;105794647;Zhenskaja stihija;jenskaja_stihija;WOMAN;
48885;52980732;Spetsial'no dlja zhenskoj poloviny podpischikov.TYVA;17womensecrets;WOMAN;"""Delites' opytom i davajte sovety<br>Zdes':<br>-svobodnye devushki i zamuzhnie zhenschiny"; <br>-molodye mamochki i opytnye babushki; <br>-schastlivye zheny;<br>-sil'nye materi-odinochki; <br>-ljubovnitsy.<br>V obschem
46885;52980732;Spetsial'no dlja zhenskoj poloviny podpischikov.TYVA;17womensecrets;WOMAN;"""Delites' opytom i davajte sovety<br>Zdes':<br>-svobodnye devushki i zamuzhnie zhenschiny"; <br>-molodye mamochki i opytnye babushki; <br>-schastlivye zheny;<br>-sil'nye materi-odinochki; <br>-ljubovnitsy.<br>V obschem
48886;100391041;Masturbatsija video|Onanizm|drochit|vibrator|zhenska;club100391041;WOMAN;
46886;100391041;Masturbatsija video|Onanizm|drochit|vibrator|zhenska;club100391041;WOMAN;
46887;88350989;zhenskie forumy;baba_forum;WOMAN;
48887;88350989;zhenskie forumy;baba_forum;WOMAN;
48888;86910844;zhenskaja dolja indijskij  serial;club86910844;WOMAN;
46888;86910844;zhenskaja dolja indijskij  serial;club86910844;WOMAN;
48889;69184808;Zhenskie mysli;women__thoughts;WOMAN;Azhurnej zhenskogo bel'ja... mogut byt' tol'ko... zhenskie mysli...)
46889;69184808;Zhenskie mysli;women__thoughts;WOMAN;Azhurnej zhenskogo bel'ja... mogut byt' tol'ko... zhenskie mysli...)
48890;67228718;Bitva zhenskih popok;club67228718;WOMAN;
46890;67228718;Bitva zhenskih popok;club67228718;WOMAN;
